No	Nama File	File ID	Status	Link Google Drive	Sumber
35	Pembayaran terkirim kepada wbass.jpg	1y4MAidv5aor4P3wvBUx2shjW0wHI2W50	PUBLIC - VIEWER	https://drive.google.com/file/d/1y4MAidv5aor4P3wvBUx2shjW0wHI2W50/view?usp=sharing	Direct File ID
36	paypal eror.jpeg	1iITNBse2LIL7OVUSpjp9mhAWani5E07T	PUBLIC - VIEWER	https://drive.google.com/file/d/1iITNBse2LIL7OVUSpjp9mhAWani5E07T/view?usp=sharing	Direct File ID
37	On Hold wbass paypal.jpg	1HzOTe0OLhC0s-ktiKYm8a4ll8L_Eu3iG	PUBLIC - VIEWER	https://drive.google.com/file/d/1HzOTe0OLhC0s-ktiKYm8a4ll8L_Eu3iG/view?usp=sharing	Direct File ID
38	new_resolution_process.png	1nKvuQQGYQ586V2jydP8z2emFL54YnNN0	PUBLIC - VIEWER	https://drive.google.com/file/d/1nKvuQQGYQ586V2jydP8z2emFL54YnNN0/view?usp=sharing	Direct File ID
39	mutasi_kode_paypal_bank_jago.jpeg	1rtZ1AVbWbqBeAMsiQ9bMr0Fb8kBMUtAO	PUBLIC - VIEWER	https://drive.google.com/file/d/1rtZ1AVbWbqBeAMsiQ9bMr0Fb8kBMUtAO/view?usp=sharing	Direct File ID
40	mutasi_from_paypal.jpeg	119Xvg8leXZcbg3mC4rskCN9bPcZ7B6JQ	PUBLIC - VIEWER	https://drive.google.com/file/d/119Xvg8leXZcbg3mC4rskCN9bPcZ7B6JQ/view?usp=sharing	Direct File ID
41	konfirmasi diterima adakomputer.jpg	1GIoncMMBl2bIGfC_8Pcohe3Qzt2QCrlT	PUBLIC - VIEWER	https://drive.google.com/file/d/1GIoncMMBl2bIGfC_8Pcohe3Qzt2QCrlT/view?usp=sharing	Direct File ID
42	kartu ditolak.jpg	1Xc2mrTBLwvAfzeembwqg4j1w9NfPDBCs	PUBLIC - VIEWER	https://drive.google.com/file/d/1Xc2mrTBLwvAfzeembwqg4j1w9NfPDBCs/view?usp=sharing	Direct File ID
43	Jago_kartu digital_History_08082026.pdf	1URSSbNuLXrD_KuH1W7EgpG6vzEAmkX9D	PUBLIC - VIEWER	https://drive.google.com/file/d/1URSSbNuLXrD_KuH1W7EgpG6vzEAmkX9D/view?usp=sharing	Direct File ID
44	Issue refund.png	18ygvkyufv4qfBKgsRgdz9NonVTkuGKCg	PUBLIC - VIEWER	https://drive.google.com/file/d/18ygvkyufv4qfBKgsRgdz9NonVTkuGKCg/view?usp=sharing	Direct File ID
45	Issue details.png	1bY66jKVrHZjJ5IgbiZg8yEMUlxYa-P6N	PUBLIC - VIEWER	https://drive.google.com/file/d/1bY66jKVrHZjJ5IgbiZg8yEMUlxYa-P6N/view?usp=sharing	Direct File ID
46	Edit packing slip information.png	1d8K0-3CodTBtYZnpIOnqMIRc4ZRO8l-6	PUBLIC - VIEWER	https://drive.google.com/file/d/1d8K0-3CodTBtYZnpIOnqMIRc4ZRO8l-6/view?usp=sharing	Direct File ID
47	diterima_tautan_kartu_ika.jpg	1VY3VfgMwa0us1t4KHd27O96ABRSWBH6m	PUBLIC - VIEWER	https://drive.google.com/file/d/1VY3VfgMwa0us1t4KHd27O96ABRSWBH6m/view?usp=sharing	Direct File ID
